event_id,tag
177959171,1801
177959172,1801
177959173,1801
177959174,1801
177959175,1801
177959177,1802
177959186,1801
177959189,701
177959189,1802
177961218,703
177961218,1801
177959178,1401
177959178,1801
177959179,1801
177959180,1801
177959191,703
177959191,1801
177959181,701
177959181,1802
177959182,1802
177959194,1801
177959195,1801
177959196,1801
177959197,1801
177959202,1802
177959184,1802
177959204,1801
177959205,703
177959205,1801
177961219,701
177961219,1802
177959206,901
177959206,1802
177959185,1801
177959187,1801
177959210,703
177959210,1801
177959188,701
177959188,1802
177959213,504
177959213,701
177959213,1802
177959190,503
177959190,703
177959190,1801
177959192,501
177959192,703
177959192,1801
177959215,502
177959215,701
177959215,1802
177959217,502
177959217,1601
177959217,701
177959217,1802
177959193,501
177959193,703
177959193,1801
177959198,1801
177959199,1801
177959200,502
177959200,703
177959200,1801
177959222,501
177959222,701
177959222,1802
177959201,501
177959201,703
177959201,1801
177961220,502
177961220,701
177961220,1802
177959203,1801
177959207,1801
177959208,1801
177959211,301
177959211,402
177959211,801
177959211,1801
177959212,101
177959212,402
177959212,201
177959212,1205
177959212,1801
177959226,101
177959226,1205
177959226,1802
177959231,701
177959231,1802
177959218,703
177959218,1801
177959220,1802
177959233,1401
177959221,703
177959221,1801
177961221,701
177961221,1802
177959236,701
177959236,1802
177961222,703
177961222,1801
177959223,1802
177959244,1801
177959246,701
177959246,1802
177959224,703
177959224,1801
177959247,401
177959247,201
177959247,1211
177959247,1802
177959228,1801
177959252,501
177959252,701
177959252,1802
177959229,502
177959229,703
177959229,1801
177959230,1801
177959232,1801
177959234,1802
177959254,1901
177959254,1401
177959254,1801
177959237,501
177959237,701
177959237,1802
177959257,1901
177959257,502
177959257,703
177959257,1801
177959258,1901
177959258,401
177959258,2101
177959258,1802
177959239,1401
177959240,1801
177959243,2001
177959243,701
177959243,1802
177959262,703
177959262,1801
177959264,401
177959264,1801
177959266,702
177959266,1801
177959245,702
177959245,1801
177959268,1801
177959271,1801
177959273,402
177959273,801
177959273,1802
177959277,301
177959277,1801
177959248,701
177959248,1802
177959279,703
177959279,1801
177959280,101
177959280,403
177959280,201
177959280,1207
177959280,1801
177959249,101
177959249,1207
177959249,1802
177959256,1802
177959290,1302
177959295,1801
177959296,1801
177959259,703
177959259,1801
177959297,701
177959297,1802
177959261,701
177959261,1802
177961224,703
177961224,1801
177959298,1801
177959299,1801
177959300,901
177959300,1802
177959263,1801
177959265,1801
177959269,1801
177959270,1802
177959304,1801
177959305,1802
177959275,1801
177959276,1802
177959308,1401
177959308,1801
177959310,1801
177959312,901
177959312,1801
177959317,1801
177959322,502
177959322,701
177959322,1802
177961225,501
177961225,703
177961225,1801
177959326,702
177959326,1801
177959281,702
177959281,1801
177959282,1801
177959283,1801
177959284,1801
177959331,504
177959331,701
177959331,1802
177959287,503
177959287,703
177959287,1801
177959288,1801
177959289,401
177959289,201
177959289,1215
177959289,1802
177959340,703
177959340,1801
177959292,701
177959292,1802
177959294,1802
177959344,1801
177959346,1801
177959347,401
177959347,1802
177959301,1401
177959301,1802
177959349,1801
177959350,504
177959350,703
177959350,1801
177959303,503
177959303,701
177959303,1802
177959353,1801
177959354,901
177959354,1802
177959307,1801
177959309,1801
177959311,1801
177959313,1801
177959314,1801
177959316,1801
177959319,1801
177959320,1801
177959321,1801
177959323,1801
177959324,1801
177959325,1801
177959327,1801
177959328,1801
177959330,1801
177959332,1801
177959333,1801
177959334,1801
177959336,401
177959336,801
177959336,1801
177959338,1802
177959370,1401
177959370,1802
177959342,801
177959342,1801
177959374,702
177959374,1801
177959345,702
177959345,1801
177959376,703
177959376,1801
177961227,701
177961227,1802
177959378,1801
177959380,1802
177959351,1801
177959352,1801
177959355,1801
177959356,1801
177959357,1801
177959358,1801
177959360,1801
177959362,1801
177959363,1801
177959364,1801
177959365,1801
177959366,1801
177959367,1801
177959368,1802
177959386,702
177959386,1801
177959372,702
177959372,1801
177959388,701
177959388,1802
177959373,703
177959373,1801
177959375,1802
177959391,1801
177959392,1801
177959394,1801
177959396,1801
177959397,1801
177959379,504
177959379,701
177959379,1802
177959399,503
177959399,703
177959399,1801
177959403,1801
177959405,501
177959405,703
177959405,1801
177961228,502
177961228,701
177961228,1802
177959408,402
177959408,801
177959408,1802
177959383,1401
177959383,1802
177959411,1801
177959413,501
177959413,703
177959413,1801
177959385,502
177959385,701
177959385,1802
177959414,402
177959414,801
177959414,1801
177959387,703
177959387,1801
177961229,701
177961229,1802
177959389,1801
177959390,1802
177959422,1801
177959424,703
177959424,1801
177959393,701
177959393,1802
177959426,402
177959426,801
177959426,1802
177959428,504
177959428,702
177959428,1801
177959395,503
177959395,702
177959395,1801
177959430,701
177959430,1802
177959398,703
177959398,1801
177959400,1801
177959404,1801
177959406,1801
177959407,1801
177959409,1801
177959410,1802
177959434,1401
177959434,1801
177959436,703
177959436,1801
177959412,701
177959412,1802
177959437,1801
177959441,1801
177959415,703
177959415,1801
177959442,701
177959442,1802
177959416,1801
177959446,501
177959446,703
177959446,1801
177959418,502
177959418,701
177959418,1802
177959448,2001
177959448,701
177959448,1802
177959421,703
177959421,1801
177959423,1801
177959425,1801
177959427,502
177959427,703
177959427,1801
177959450,501
177959450,1601
177959450,701
177959450,1802
177959429,402
177959429,201
177959429,1205
177959429,1801
177959454,1205
177959454,1801
177959455,1801
177959457,702
177959457,1801
177959432,702
177959432,1801
177959435,702
177959435,1801
177961230,702
177961230,1801
177959438,1801
177959461,703
177959461,1801
177959440,701
177959440,1802
177959462,702
177959462,1801
177961231,702
177961231,1801
177959464,1801
177959465,1802
177959443,1801
177959444,1801
177959445,901
177959445,1802
177959469,1801
177959472,703
177959472,1801
177959449,701
177959449,1802
177959451,1802
177959477,1801
177959453,1802
177959480,504
177959480,702
177959480,1801
177959456,503
177959456,702
177959456,1801
177959483,702
177959483,1801
177959458,702
177959458,1801
177959459,1802
177959486,1802
177959488,701
177959488,1802
177959463,703
177959463,1801
177959466,1801
177959467,1801
177959468,1801
177959470,1801
177959471,1801
177959473,1801
177959476,1801
177959478,1801
177959502,1802
177959485,1401
177959509,703
177959509,1801
177959487,701
177959487,1802
177959511,1802
177959490,1801
177959491,1801
177959492,1801
177959493,1801
177959494,1801
177959495,1801
177959496,1801
177959497,1801
177959500,1801
177959501,1801
177959504,1801
177959515,501
177959515,701
177959515,1802
177959506,502
177959506,703
177959506,1801
177959507,401
177959507,1802
177959517,1401
177959517,1801
177959518,703
177959518,1801
177959510,701
177959510,1802
177959521,1801
177959523,702
177959523,1801
177959516,702
177959516,1801
177959519,1801
177959520,1801
177959522,1801
177959524,1801
177959526,1801
177959527,1801
177959528,1802
177959529,2001
177959529,701
177959529,1802
177959530,703
177959530,1801
177959534,1801
177959533,504
177959533,701
177959533,1802
177959537,1901
177959537,503
177959537,703
177959537,1801
177959539,1801
177959541,1801
177959542,1801
177959543,1801
177959545,1801
177959547,1801
177959548,1801
177959549,1801
177959550,1801
177959551,1801
177959552,1801
177959553,1801
177959554,1801
177959555,1801
177959538,701
177959538,1802
177959557,703
177959557,1801
177959558,502
177959558,602
177959558,703
177959558,1801
177959540,501
177959540,601
177959540,701
177959540,1802
177959559,1802
177959560,1801
177959562,1801
177959564,1801
177959565,1801
177959566,1801
177959567,1801
177959568,1801
177959570,1801
177959572,1801
177959574,1801
177959575,1801
177959577,1801
177959579,1801
177959580,1801
177959582,1801
177959583,1801
177959585,1801
177959586,1801
177959587,1801
177959588,1801
177959589,1801
177959590,1801
177959592,1801
177959593,1801
177959595,1802
177959561,1401
177959563,701
177959563,1802
177961232,703
177961232,1801
177959597,1801
177959598,1801
177959599,1801
177959600,901
177959600,1801
177959603,302
177959603,401
177959603,1801
177959606,401
177959606,2101
177959606,1802
177959573,1401
177959576,1801
177959578,701
177959578,1802
177959607,703
177959607,1801
177959608,1801
177959609,1801
177959611,401
177959611,2101
177959611,1802
177959581,1401
177959584,1802
177959612,1801
177959613,1801
177959614,1801
177959615,1801
177959616,1801
177959617,1801
177959618,1801
177959619,1801
177959620,1801
177959623,1801
177959624,1801
177959625,1801
177959626,1802
177959610,1401
177959610,1801
177959591,1801
177959594,702
177959594,1801
177959628,702
177959628,1801
177959631,703
177959631,1801
177959596,701
177959596,1802
177959634,1801
177959635,1801
177959636,1801
177959638,1802
177959601,1401
177959601,503
177959601,701
177959601,1802
177959639,504
177959639,703
177959639,1801
177959641,1801
177959643,1802
177959621,1802
177959646,1801
177959622,701
177959622,1802
177959647,703
177959647,1801
177959648,1801
177959649,1801
177959651,1801
177959652,1801
177959653,1801
177959654,1801
177959655,1801
177959658,1801
177959660,1801
177959629,504
177959629,703
177959629,1801
177961233,503
177961233,701
177961233,1802
177959632,1801
177959637,1801
177959640,1801
177959642,701
177959642,1802
177959663,703
177959663,1801
177959664,1801
177959665,1801
177959666,1801
177959667,1801
177959668,1801
177959669,1801
177959671,1802
177959645,703
177959645,1801
177959672,701
177959672,1802
177959650,1801
177959656,701
177959656,1802
177959677,703
177959677,1801
177959678,1801
177959680,1801
177959681,1801
177959683,1801
177959684,1801
177959687,1801
177959689,1801
177959690,1801
177959691,1801
177959693,1801
177959694,1801
177959696,1801
177959698,1801
177959699,1801
177959701,1801
177959703,1802
177959673,1801
177959675,2001
177959675,1802
177959706,1801
177959707,1801
177959708,1801
177959676,504
177959676,701
177959676,1802
177961234,503
177961234,703
177961234,1801
177959710,1801
177959712,1801
177959714,402
177959714,2101
177959714,1802
177959685,1401
177959688,502
177959688,701
177959688,1802
177959716,501
177959716,703
177959716,1801
177959717,402
177959717,1802
177959692,1401
177959697,1802
177959719,1801
177959721,1801
177959722,1801
177959724,1801
177959726,1801
177959728,1801
177959729,1801
177959731,1801
177959735,1801
177959737,1801
177959702,701
177959702,1802
177959744,302
177959744,703
177959744,1801
177959740,401
177959740,201
177959740,1204
177959740,1801
177959704,1204
177959704,1801
177959747,1802
177959709,1401
177959709,1802
177959749,402
177959749,1216
177959749,1802
177959715,1801
177959718,602
177959718,702
177959718,1801
177961236,601
177961236,702
177961236,1801
177959752,701
177959752,1802
177961237,703
177961237,1801
177959720,1801
177959723,1801
177959725,701
177959725,1802
177961238,703
177961238,1801
177959755,1401
177959755,1801
177959756,1801
177959757,1802
177959732,1801
177959734,1801
177959736,1801
177959738,702
177959738,1801
177959758,702
177959758,1801
177959741,1801
177959742,1801
177959743,1801
177959745,1801
177959746,901
177959746,1802
177959760,1401
177959760,1801
177959761,1801
177959762,1801
177959764,1801
177959765,1801
177959767,1801
177959768,2001
177959768,1802
177959751,1801
177959753,301
177959753,401
177959753,1801
177959759,101
177959759,402
177959759,201
177959759,1203
177959759,1801
177959773,101
177959773,1203
177959773,1802
177959781,1801
177959782,1801
177959786,1801
177959788,1801
177959790,1801
177959792,1801
177959763,501
177959763,701
177959763,1802
177959794,502
177959794,703
177959794,1801
177959796,401
177959796,801
177959796,1802
177959766,1801
177959769,1802
177959799,1802
177959772,1401
177959772,1801
177959801,702
177959801,1801
177961239,702
177961239,1801
177959803,1801
177959804,1801
177959806,1801
177959808,1802
177959775,1401
177959775,1802
177959810,1801
177959812,1801
177959813,1801
177959815,1801
177959818,1801
177959820,701
177959820,1802
177959776,1901
177959776,703
177959776,1801
177959777,1901
177959777,1801
177959778,1901
177959778,1801
177959779,1901
177959779,1801
177959780,1901
177959780,1801
177959785,1901
177959785,1801
177959787,1901
177959787,1801
177959789,1901
177959789,1801
177959791,1901
177959791,1801
177959793,1901
177959793,1802
177959823,1401
177959823,1802
177959795,1901
177959795,1801
177959798,1901
177959798,401
177959798,801
177959798,1802
177959828,1801
177959805,702
177959805,1801
177959807,701
177959807,1802
177961240,702
177961240,1801
177959830,702
177959830,1801
177959809,702
177959809,1801
177959831,702
177959831,1801
177959814,1801
177959816,1801
177959817,1802
177959835,1401
177959835,1802
177959819,402
177959819,1401
177959819,1801
177959821,602
177959821,701
177959821,1802
177959839,601
177959839,703
177959839,1801
177959840,1802
177959822,1801
177959824,1801
177959825,1801
177959827,602
177959827,703
177959827,1801
177959842,601
177959842,701
177959842,1802
177959829,701
177959829,1802
177959843,703
177959843,1801
177959845,1801
177959847,1802
177959833,1801
177959850,1801
177959836,701
177959836,1802
177961241,703
177961241,1801
177959852,1802
177959838,1802
177959854,1401
177959854,1801
177959856,1801
177959858,2001
177959858,1802
177959844,1901
177959844,1401
177959844,1801
177959846,302
177959846,1901
177959846,401
177959846,801
177959846,1801
177959863,701
177959863,1802
177959851,1901
177959851,703
177959851,1801
177959853,1901
177959853,403
177959853,201
177959853,1210
177959853,1802
177959860,1801
177959861,1302
177959866,1801
177959868,1801
177959869,1801
177959870,1801
177959873,1801
177959865,703
177959865,1801
177959876,701
177959876,1802
177959867,1801
177959872,1302
177959874,701
177959874,1802
177959877,703
177959877,1801
177959879,1801
177959880,1802
177959878,1801
177959882,1801
177959884,1802
177959887,1401
177959886,1801
177959888,1801
177959889,1801
177959890,1801
177959891,1801
177959892,1801
177959896,1801
177959899,1801
177959901,1801
177959902,1801
177959903,702
177959903,1801
177961243,702
177961243,1801
177959894,703
177959894,1801
177961244,701
177961244,1802
177959895,1801
177959898,1801
177959900,503
177959900,701
177959900,1802
177959908,504
177959908,1601
177959908,703
177959908,1801
177959909,703
177959909,1801
177961245,701
177961245,1802
177959910,1801
177959911,702
177959911,1801
177959907,702
177959907,1801
177959913,1801
177959917,701
177959917,1802
177961246,703
177961246,1801
177959914,1401
177959914,1801
177959915,1801
177959918,701
177959918,1802
177959916,1901
177959916,703
177959916,1801
177959919,1801
177959920,1802
177959925,1401
177959925,1801
177959922,702
177959922,1801
177961247,702
177961247,1801
177959929,1801
177959930,1801
177959931,1801
177959935,501
177959935,703
177959935,1801
177961248,502
177961248,701
177961248,1802
177959940,402
177959940,801
177959940,1802
177959926,1801
177959927,1801
177959928,1802
177959947,1801
177959949,1802
177959933,1801
177959934,1801
177959937,702
177959937,1801
177959951,702
177959951,1801
177959938,1801
177959939,1801
177959941,1801
177959952,601
177959952,701
177959952,1802
177959943,602
177959943,703
177959943,1801
