id,initialX,initialY,finalX,finalY
177959171,49,49,31.0,78.0
177959172,31,78,51.0,75.0
177959173,51,75,35.0,71.0
177959174,35,71,41.0,95.0
177959175,41,95,72.0,88.0
177959177,72,88,77.0,75.0
177959186,23,25,39.0,15.0
177959189,39,15,33.0,20.0
177961218,61,85,67.0,80.0
177959178,67,80,59.0,61.0
177959179,59,61,45.0,45.0
177959180,45,45,71.0,54.0
177959191,29,46,50.0,41.0
177959181,71,54,50.0,59.0
177959182,50,59,76.0,69.0
177959194,24,31,42.0,15.0
177959195,42,15,29.0,26.0
177959196,29,26,37.0,8.0
177959197,37,8,23.0,5.0
177959202,23,5,63.0,19.0
177959184,37,81,45.0,95.0
177959204,55,5,67.0,22.0
177959205,67,22,71.0,15.0
177961219,33,78,29.0,85.0
177959206,71,15,81.0,26.0
177959185,19,74,4.0,53.0
177959187,4,53,40.0,44.0
177959210,60,56,56.0,49.0
177959188,40,44,44.0,51.0
177959213,56,49,45.0,54.0
177959190,44,51,55.0,46.0
177959192,55,46,64.0,44.0
177959215,45,54,36.0,56.0
177959217,36,56,36.0,48.0
177959193,64,44,64.0,52.0
177959219,36,48,36.0,56.0
177959198,65,44,65.0,31.0
177959199,65,31,90.0,13.0
177959200,90,13,96.0,14.0
177959222,10,87,4.0,86.0
177959201,96,14,90.0,3.0
177961220,4,86,10.0,97.0
177959203,90,3,72.0,13.0
177959207,72,13,86.0,86.0
177959208,86,86,73.0,71.0
177959211,73,71,88.0,41.0
177959212,88,41,0.0,0.0
177959226,100,100,12.0,59.0
177959231,75,6,82.0,6.0
177959218,25,94,18.0,94.0
177959220,18,94,20.0,92.0
177959233,80,8,92.0,28.0
177959238,92,28,89.0,27.0
177959221,11,73,5.0,73.0
177961221,89,27,95.0,27.0
177959236,95,27,94.0,28.0
177961222,5,73,6.0,72.0
177959223,6,72,4.0,100.0
177959242,96,0,100.0,100.0
177959244,94,0,93.0,41.0
177959246,93,41,85.0,52.0
177959224,7,59,15.0,48.0
177959247,85,52,100.0,100.0
177959251,100,38,100.0,100.0
177959227,0,0,28.0,44.0
177959228,28,44,43.0,47.0
177959252,57,53,55.0,55.0
177959229,43,47,45.0,45.0
177959253,55,55,57.0,53.0
177959230,39,31,50.0,61.0
177959232,50,61,45.0,43.0
177959234,45,43,47.0,86.0
177959254,53,14,85.0,7.0
177959237,15,93,4.0,90.0
177959257,85,7,96.0,10.0
177959258,96,10,100.0,100.0
177959239,3,77,18.0,84.0
177959240,18,84,23.0,95.0
177959243,23,95,8.0,90.0
177959262,77,5,92.0,10.0
177959264,92,10,93.0,37.0
177959266,93,37,100.0,0.0
177959245,7,63,0.0,100.0
177959267,100,29,100.0,100.0
177959268,100,0,91.0,6.0
177959271,91,6,77.0,15.0
177959273,77,15,100.0,100.0
177959250,0,0,23.0,85.0
177959277,97,66,96.0,52.0
177959248,4,48,4.0,48.0
177959279,96,52,96.0,52.0
177959280,96,52,100.0,100.0
177959249,0,0,4.0,48.0
177959256,35,85,86.0,70.0
177959290,14,30,6.0,31.0
177959291,6,31,16.0,41.0
177959295,16,41,62.0,9.0
177959296,62,9,72.0,33.0
177959259,28,67,47.0,50.0
177959297,72,33,53.0,50.0
177959261,47,50,53.0,47.0
177961224,53,50,47.0,53.0
177959298,47,53,57.0,51.0
177959299,57,51,55.0,53.0
177959300,55,53,87.0,54.0
177959263,13,46,33.0,20.0
177959265,33,20,40.0,23.0
177959269,40,23,40.0,14.0
177959270,40,14,67.0,100.0
177959302,33,0,100.0,100.0
177959304,32,0,47.0,6.0
177959305,47,6,67.0,10.0
177959275,33,90,71.0,70.0
177959276,71,70,71.0,63.0
177959308,29,37,26.0,3.0
177959310,26,3,44.0,8.0
177959312,44,8,83.0,17.0
177959317,83,17,83.0,30.0
177959322,83,30,89.0,27.0
177961225,17,70,11.0,73.0
177959326,89,27,91.0,28.0
177959281,11,73,9.0,72.0
177959282,9,72,14.0,61.0
177959283,14,61,34.0,39.0
177959284,34,39,53.0,10.0
177959331,47,90,41.0,82.0
177959287,53,10,59.0,18.0
177959288,59,18,81.0,33.0
177959289,81,33,0.0,0.0
177959337,2,53,100.0,100.0
177959339,100,100,65.0,47.0
177959340,65,47,83.0,52.0
177959292,35,53,17.0,48.0
177959294,17,48,12.0,100.0
177959343,88,0,100.0,100.0
177959344,73,0,92.0,7.0
177959346,92,7,85.0,6.0
177959347,85,6,92.0,38.0
177959301,8,62,50.0,85.0
177959349,50,15,39.0,36.0
177959350,39,36,49.0,13.0
177959303,61,64,51.0,87.0
177959353,49,13,63.0,4.0
177959354,63,4,100.0,96.0
177959359,100,96,100.0,100.0
177959306,0,0,24.0,47.0
177959307,24,47,34.0,57.0
177959309,34,57,25.0,80.0
177959311,25,80,33.0,25.0
177959313,33,25,52.0,33.0
177959314,52,33,61.0,23.0
177959316,61,23,77.0,96.0
177959319,77,96,68.0,68.0
177959320,68,68,58.0,68.0
177959321,58,68,67.0,75.0
177959323,67,75,78.0,89.0
177959324,78,89,64.0,75.0
177959325,64,75,47.0,54.0
177959327,47,54,68.0,22.0
177959328,68,22,53.0,48.0
177959330,53,48,67.0,76.0
177959332,67,76,66.0,59.0
177959333,66,59,69.0,27.0
177959334,69,27,88.0,6.0
177959336,88,6,94.0,86.0
177959338,94,86,97.0,62.0
177959370,3,38,0.0,9.0
177959371,0,9,100.0,100.0
177959342,100,100,89.0,34.0
177959374,11,66,9.0,62.0
177959345,89,34,91.0,38.0
177959376,9,62,6.0,100.0
177961227,91,38,94.0,0.0
177959377,4,100,100.0,100.0
177959378,6,100,30.0,95.0
177959380,30,95,37.0,79.0
177959351,63,21,70.0,23.0
177959352,70,23,57.0,24.0
177959355,57,24,65.0,43.0
177959356,65,43,65.0,86.0
177959357,65,86,67.0,42.0
177959358,67,42,62.0,14.0
177959360,62,14,69.0,8.0
177959362,69,8,70.0,22.0
177959363,70,22,56.0,31.0
177959364,56,31,66.0,12.0
177959365,66,12,55.0,54.0
177959366,55,54,71.0,58.0
177959367,71,58,53.0,76.0
177959368,53,76,95.0,87.0
177959382,5,13,100.0,100.0
177959384,100,100,67.0,28.0
177959386,67,28,74.0,37.0
177959372,33,72,26.0,63.0
177959388,74,37,74.0,59.0
177959373,26,63,26.0,41.0
177959375,26,41,31.0,59.0
177959391,69,41,65.0,39.0
177959392,65,39,61.0,64.0
177959394,61,64,59.0,7.0
177959396,59,7,40.0,17.0
177959397,40,17,66.0,21.0
177959379,34,79,33.0,71.0
177959399,66,21,67.0,29.0
177959381,33,71,34.0,79.0
177959403,66,13,71.0,13.0
177959405,71,13,70.0,21.0
177961228,29,87,30.0,79.0
177959408,70,21,84.0,51.0
177959383,16,49,33.0,32.0
177959411,67,68,85.0,90.0
177959413,85,90,99.0,91.0
177959385,15,10,1.0,9.0
177959414,99,91,92.0,46.0
177959387,8,54,22.0,40.0
177961229,92,46,78.0,60.0
177959389,22,40,30.0,38.0
177959390,30,38,28.0,0.0
177959419,72,100,100.0,100.0
177959422,67,100,85.0,90.0
177959424,85,90,99.0,87.0
177959393,15,10,1.0,13.0
177959426,99,87,81.0,17.0
177959428,81,17,69.0,16.0
177959395,19,83,31.0,84.0
177959430,69,16,65.0,23.0
177959398,31,84,35.0,77.0
177959400,35,77,64.0,77.0
177959404,64,77,72.0,11.0
177959406,72,11,69.0,31.0
177959407,69,31,69.0,45.0
177959409,69,45,72.0,58.0
177959410,72,58,81.0,56.0
177959434,19,44,35.0,44.0
177959436,35,44,31.0,52.0
177959412,65,56,69.0,48.0
177959437,31,52,32.0,56.0
177959441,32,56,41.0,61.0
177959415,59,39,63.0,51.0
177959442,41,61,37.0,49.0
177959416,63,51,82.0,85.0
177959446,18,15,11.0,26.0
177959418,82,85,89.0,74.0
177959448,11,26,24.0,22.0
177959421,89,74,76.0,78.0
177959423,76,78,71.0,58.0
177959425,71,58,74.0,51.0
177959427,74,51,75.0,30.0
177959450,26,49,25.0,70.0
177959429,75,30,0.0,0.0
177959454,100,100,26.0,49.0
177959455,11,70,36.0,91.0
177959457,36,91,24.0,94.0
177959432,64,9,76.0,6.0
177959435,76,6,81.0,0.0
177961230,24,94,19.0,100.0
177959460,13,100,100.0,100.0
177959438,81,0,85.0,10.0
177959461,15,90,12.0,81.0
177959440,85,10,88.0,19.0
177959462,12,81,7.0,75.0
177961231,88,19,93.0,25.0
177959464,7,75,2.0,64.0
177959465,2,64,50.0,82.0
177959443,50,18,66.0,15.0
177959444,66,15,66.0,31.0
177959445,66,31,87.0,34.0
177959447,87,34,0.0,0.0
177959469,17,51,58.0,16.0
177959472,58,16,81.0,6.0
177959449,42,84,19.0,94.0
177959451,19,94,21.0,100.0
177959475,79,0,100.0,100.0
177959477,75,0,95.0,10.0
177959479,95,10,78.0,20.0
177959453,22,80,16.0,93.0
177959480,84,7,87.0,5.0
177959456,16,93,13.0,95.0
177959483,87,5,83.0,0.0
177959458,13,95,17.0,100.0
177959484,93,0,100.0,100.0
177959459,17,100,37.0,87.0
177959486,63,13,94.0,30.0
177959488,94,30,97.0,25.0
177959463,6,70,3.0,75.0
177959489,97,25,94.0,30.0
177959466,8,60,22.0,17.0
177959467,22,17,17.0,50.0
177959468,17,50,30.0,72.0
177959470,30,72,41.0,90.0
177959471,41,90,31.0,76.0
177959473,31,76,27.0,46.0
177959476,27,46,46.0,24.0
177959478,46,24,87.0,94.0
177959482,87,94,88.0,93.0
177959502,12,7,10.0,7.0
177959485,90,93,95.0,91.0
177959503,5,9,100.0,100.0
177959505,100,100,58.0,21.0
177959508,58,21,62.0,20.0
177959509,62,20,64.0,18.0
177959487,38,80,36.0,82.0
177959511,64,18,81.0,15.0
177959514,81,15,100.0,100.0
177959490,25,67,37.0,77.0
177959491,37,77,46.0,93.0
177959492,46,93,28.0,81.0
177959493,28,81,21.0,44.0
177959494,21,44,38.0,23.0
177959495,38,23,25.0,42.0
177959496,25,42,40.0,45.0
177959497,40,45,31.0,83.0
177959498,31,83,62.0,77.0
177959500,62,77,68.0,65.0
177959501,68,65,65.0,54.0
177959504,65,54,85.0,16.0
177959515,15,84,7.0,81.0
177959506,85,16,93.0,19.0
177959507,93,19,94.0,35.0
177959517,6,65,12.0,38.0
177959518,12,38,13.0,36.0
177959510,88,62,87.0,64.0
177959512,87,64,88.0,62.0
177959521,12,39,67.0,12.0
177959523,67,12,73.0,0.0
177959516,33,88,27.0,100.0
177959525,78,0,100.0,100.0
177959519,27,100,39.0,85.0
177959520,39,85,30.0,84.0
177959522,30,84,17.0,84.0
177959524,17,84,15.0,43.0
177959526,15,43,34.0,37.0
177959527,34,37,42.0,24.0
177959528,42,24,31.0,8.0
177959529,69,92,55.0,87.0
177959530,31,8,45.0,13.0
177959534,45,13,62.0,30.0
177959533,38,70,38.0,72.0
177959537,62,30,62.0,28.0
177959535,38,72,38.0,70.0
177959539,63,29,71.0,38.0
177959541,71,38,61.0,33.0
177959542,61,33,71.0,39.0
177959543,71,39,60.0,31.0
177959545,60,31,47.0,80.0
177959547,47,80,43.0,51.0
177959548,43,51,59.0,22.0
177959549,59,22,63.0,36.0
177959550,63,36,53.0,45.0
177959551,53,45,54.0,60.0
177959552,54,60,36.0,29.0
177959553,36,29,58.0,14.0
177959554,58,14,68.0,14.0
177959555,68,14,73.0,4.0
177959538,27,96,22.0,96.0
177959557,73,4,78.0,4.0
177959558,78,4,78.0,6.0
177959540,22,96,22.0,94.0
177959559,78,6,88.0,10.0
177959544,12,90,7.0,100.0
177959546,7,100,100.0,100.0
177959560,84,0,79.0,11.0
177959562,79,11,90.0,7.0
177959564,90,7,83.0,14.0
177959565,83,14,69.0,20.0
177959566,69,20,80.0,8.0
177959567,80,8,64.0,27.0
177959568,64,27,70.0,80.0
177959570,70,80,74.0,85.0
177959572,74,85,55.0,74.0
177959574,55,74,45.0,51.0
177959575,45,51,59.0,18.0
177959577,59,18,71.0,22.0
177959579,71,22,72.0,33.0
177959580,72,33,61.0,23.0
177959582,61,23,69.0,22.0
177959583,69,22,54.0,50.0
177959585,54,50,68.0,80.0
177959586,68,80,80.0,93.0
177959587,80,93,74.0,75.0
177959588,74,75,72.0,80.0
177959589,72,80,69.0,68.0
177959590,69,68,67.0,86.0
177959592,67,86,56.0,58.0
177959593,56,58,65.0,27.0
177959595,65,27,72.0,34.0
177959561,28,66,24.0,64.0
177959563,24,64,21.0,83.0
177961232,76,36,79.0,17.0
177959597,79,17,68.0,26.0
177959598,68,26,80.0,15.0
177959599,80,15,78.0,35.0
177959600,78,35,93.0,25.0
177959603,93,25,90.0,39.0
177959606,90,39,0.0,0.0
177959573,6,55,15.0,60.0
177959576,15,60,47.0,46.0
177959578,47,46,29.0,9.0
177959607,53,54,71.0,91.0
177959608,71,91,69.0,69.0
177959609,69,69,69.0,36.0
177959611,69,36,0.0,0.0
177959581,18,52,28.0,27.0
177959584,28,27,45.0,28.0
177959612,55,72,65.0,60.0
177959613,65,60,57.0,80.0
177959614,57,80,43.0,48.0
177959615,43,48,57.0,20.0
177959616,57,20,66.0,18.0
177959617,66,18,59.0,25.0
177959618,59,25,63.0,23.0
177959619,63,23,70.0,37.0
177959620,70,37,58.0,30.0
177959623,58,30,63.0,81.0
177959624,63,81,67.0,57.0
177959625,67,57,68.0,83.0
177959626,68,83,77.0,75.0
177959610,23,25,33.0,11.0
177959591,33,11,43.0,19.0
177959594,43,19,42.0,20.0
177959628,57,81,58.0,80.0
177959631,58,80,50.0,63.0
177959596,42,20,50.0,37.0
177959634,50,63,55.0,43.0
177959635,55,43,71.0,33.0
177959636,71,33,52.0,39.0
177959638,52,39,48.0,18.0
177959601,52,82,60.0,61.0
177959639,48,18,40.0,39.0
177959641,40,39,67.0,28.0
177959643,67,28,75.0,43.0
177959644,75,43,0.0,0.0
177959621,23,35,73.0,81.0
177959646,27,19,33.0,8.0
177959622,67,92,65.0,95.0
177959647,33,8,35.0,5.0
177959648,35,5,33.0,16.0
177959649,33,16,16.0,31.0
177959651,16,31,29.0,32.0
177959652,29,32,13.0,34.0
177959653,13,34,30.0,80.0
177959654,30,80,28.0,53.0
177959655,28,53,32.0,37.0
177959658,32,37,62.0,34.0
177959659,62,34,71.0,20.0
177959660,71,20,86.0,13.0
177959662,86,13,86.0,20.0
177959629,14,80,9.0,74.0
177961233,86,20,91.0,26.0
177959632,9,74,16.0,95.0
177959637,16,95,4.0,85.0
177959640,4,85,37.0,93.0
177959642,37,93,55.0,86.0
177959663,63,7,45.0,14.0
177959664,45,14,60.0,34.0
177959665,60,34,65.0,65.0
177959666,65,65,77.0,87.0
177959667,77,87,63.0,70.0
177959668,63,70,71.0,61.0
177959669,71,61,72.0,54.0
177959671,72,54,94.0,76.0
177959645,6,24,4.0,23.0
177959672,94,76,96.0,77.0
177959674,96,77,94.0,76.0
177959650,11,23,66.0,24.0
177959656,66,24,64.0,21.0
177959677,34,76,36.0,79.0
177959657,64,21,66.0,24.0
177959678,34,76,41.0,81.0
177959680,41,81,32.0,72.0
177959681,32,72,30.0,22.0
177959683,30,22,39.0,27.0
177959684,39,27,38.0,10.0
177959687,38,10,36.0,17.0
177959689,36,17,31.0,45.0
177959690,31,45,52.0,90.0
177959691,52,90,70.0,89.0
177959693,70,89,37.0,62.0
177959694,37,62,60.0,36.0
177959696,60,36,65.0,12.0
177959698,65,12,64.0,27.0
177959699,64,27,71.0,39.0
177959701,71,39,68.0,45.0
177959703,68,45,73.0,31.0
177959673,27,69,35.0,58.0
177959675,35,58,28.0,74.0
177959706,72,26,64.0,39.0
177959707,64,39,64.0,49.0
177959708,64,49,74.0,63.0
177959676,26,37,29.0,41.0
177961234,74,63,71.0,59.0
177959710,71,59,72.0,43.0
177959712,72,43,86.0,58.0
177959714,86,58,0.0,0.0
177959685,12,39,9.0,35.0
177959688,9,35,2.0,30.0
177959716,91,65,98.0,70.0
177959717,98,70,90.0,49.0
177959692,5,45,8.0,47.0
177959695,8,47,10.0,51.0
177959697,10,51,49.0,25.0
177959719,51,75,60.0,31.0
177959721,60,31,45.0,30.0
177959722,45,30,63.0,43.0
177959724,63,43,53.0,55.0
177959726,53,55,66.0,70.0
177959728,66,70,76.0,91.0
177959729,76,91,65.0,52.0
177959731,65,52,61.0,29.0
177959733,61,29,64.0,21.0
177959735,64,21,71.0,37.0
177959737,71,37,83.0,29.0
177959702,17,71,10.0,68.0
177959744,83,29,90.0,32.0
177959740,90,32,0.0,0.0
177959704,100,100,10.0,68.0
177959705,0,64,100.0,100.0
177959747,100,0,93.0,39.0
177959709,7,61,27.0,64.0
177959749,73,36,0.0,0.0
177959711,3,45,100.0,100.0
177959713,100,100,49.0,39.0
177959715,49,39,71.0,35.0
177959718,71,35,71.0,56.0
177961236,29,65,29.0,44.0
177959752,29,44,37.0,38.0
177961237,71,56,63.0,62.0
177959720,63,62,76.0,65.0
177959723,76,65,76.0,58.0
177959725,76,58,73.0,68.0
177961238,24,42,27.0,32.0
177959755,27,32,30.0,36.0
177959756,30,36,31.0,57.0
177959757,31,57,30.0,0.0
177959730,70,100,100.0,100.0
177959732,67,100,74.0,92.0
177959734,74,92,69.0,96.0
177959736,69,96,69.0,74.0
177959738,69,74,62.0,86.0
177959758,31,26,38.0,14.0
177959741,62,86,65.0,77.0
177959742,65,77,49.0,47.0
177959743,49,47,67.0,11.0
177959745,67,11,71.0,5.0
177959746,71,5,88.0,23.0
177959760,12,77,18.0,93.0
177959761,18,93,21.0,66.0
177959762,21,66,28.0,46.0
177959764,28,46,22.0,44.0
177959765,22,44,26.0,50.0
177959767,26,50,33.0,34.0
177959768,33,34,31.0,91.0
177959751,69,9,93.0,16.0
177959753,93,16,94.0,54.0
177959759,94,54,100.0,100.0
177959773,0,0,6.0,46.0
177959781,47,49,47.0,48.0
177959782,47,48,52.0,84.0
177959784,52,84,72.0,84.0
177959786,72,84,37.0,78.0
177959788,37,78,46.0,62.0
177959790,46,62,54.0,18.0
177959792,54,18,79.0,10.0
177959763,21,90,11.0,89.0
177959794,79,10,89.0,11.0
177959796,89,11,89.0,70.0
177959766,11,30,26.0,29.0
177959769,26,29,12.0,0.0
177959770,12,0,100.0,100.0
177959799,84,100,83.0,88.0
177959772,17,12,16.0,23.0
177959801,84,77,77.0,100.0
177961239,16,23,23.0,0.0
177959774,26,0,100.0,100.0
177959803,77,100,68.0,81.0
177959804,68,81,76.0,92.0
177959806,76,92,66.0,88.0
177959808,66,88,78.0,61.0
177959775,22,39,53.0,34.0
177959810,47,66,55.0,16.0
177959812,55,16,66.0,18.0
177959813,66,18,66.0,42.0
177959815,66,42,71.0,45.0
177959818,71,45,78.0,54.0
177959820,78,54,77.0,63.0
177959776,22,46,23.0,37.0
177959777,23,37,30.0,39.0
177959778,30,39,34.0,64.0
177959779,34,64,38.0,71.0
177959780,38,71,28.0,71.0
177959785,28,71,54.0,13.0
177959787,54,13,43.0,11.0
177959789,43,11,34.0,29.0
177959791,34,29,31.0,5.0
177959793,31,5,67.0,28.0
177959823,33,72,41.0,80.0
177959795,59,20,93.0,12.0
177959798,93,12,93.0,100.0
177959802,93,100,100.0,100.0
177959828,21,0,16.0,8.0
177959805,84,92,88.0,94.0
177959807,88,94,84.0,92.0
177961240,12,6,14.0,8.0
177959830,16,8,12.0,6.0
177959809,86,92,87.0,100.0
177959831,14,8,13.0,0.0
177959811,88,100,100.0,100.0
177959814,87,100,94.0,90.0
177959816,94,90,90.0,97.0
177959817,90,97,89.0,90.0
177959835,11,10,12.0,6.0
177959819,88,94,92.0,61.0
177959821,92,61,88.0,54.0
177959839,8,39,12.0,46.0
177959840,12,46,36.0,15.0
177959822,64,85,70.0,69.0
177959824,70,69,60.0,95.0
177959825,60,95,68.0,96.0
177959827,68,96,71.0,86.0
177959842,32,4,29.0,14.0
177959829,71,86,74.0,89.0
177959843,29,14,26.0,11.0
177959845,26,11,27.0,16.0
177959847,27,16,22.0,0.0
177959832,78,100,100.0,100.0
177959833,66,100,82.0,89.0
177959834,82,89,82.0,79.0
177959850,18,21,16.0,18.0
177959836,84,82,73.0,75.0
177961241,16,18,27.0,25.0
177959852,27,25,32.0,34.0
177959838,68,66,67.0,60.0
177959854,33,40,28.0,26.0
177959856,28,26,30.0,65.0
177959857,30,65,49.0,74.0
177959858,49,74,33.0,97.0
177959844,67,3,93.0,14.0
177959846,93,14,89.0,59.0
177959863,11,41,8.0,42.0
177959851,89,59,92.0,58.0
177959853,92,58,100.0,100.0
177959855,100,64,100.0,100.0
177959864,0,0,45.0,53.0
177959860,55,47,75.0,34.0
177959861,75,34,80.0,30.0
177959866,20,70,4.0,51.0
177959868,4,51,20.0,87.0
177959869,20,87,46.0,16.0
177959870,46,16,29.0,10.0
177959871,29,10,40.0,34.0
177959873,40,34,69.0,44.0
177959865,31,56,34.0,51.0
177959876,69,44,66.0,49.0
177959867,34,51,46.0,67.0
177959872,46,67,44.0,69.0
177959874,44,69,45.0,69.0
177959877,56,31,55.0,31.0
177959875,45,69,44.0,69.0
