weight,firstName,middleName,lastName,currentTeamId,birthDate,height,wyId,foot,shortName,currentNationalTeamId
78,Harun,,Tekin,4502,1989-06-17,187,32777,right,H. Tekin,4687
73,Malang,,Sarr,3775,1999-01-23,182,393228,left,M. Sarr,4423
72,Over,,Mandanda,3772,1998-10-26,176,393230,,O. Mandanda,null
82,Alfred John Momar,,N'Diaye,683,1990-03-06,187,32793,right,A. N'Diaye,19314
84,Ibrahima,,Konat\u00e9,2975,1999-05-25,192,393247,right,I. Konat\u00e9,null
83,Jasper,,Cillessen,676,1989-04-22,185,33,right,J. Cillessen,664
91,Toby,,Alderweireld,1624,1989-03-02,187,36,right,T. Alderweireld,5629
88,Jan,,Vertonghen,1624,1987-04-24,189,48,left,J. Vertonghen,5629
74,Alexander,,Djiku,3783,1994-08-09,182,229427,right,A. Djiku,null
76,Christian ,,Dannemann Eriksen,1624,1992-02-14,180,54,right,C. Eriksen,7712
74,Marcel,,Sabitzer,2975,1994-03-17,177,65596,right,M. Sabitzer,null
84,Kolbeinn,,Sig\u00fe\u00f3rsson,3770,1990-03-14,186,66,right,K. Sig\u00fe\u00f3rsson,null
74,Charles,,Traor\u00e9,3795,1992-01-01,180,393284,left,C. Traor\u00e9,null
75,Niklas,,Moisander,2443,1985-09-29,183,77,left,N. Moisander,4849
91,Charlison,,Benschop,2455,1989-08-21,191,91,right,C. Benschop,18138
77,Johann ,,Berg Gu\u00f0munds\u00adson,1646,1990-10-27,186,93,left,J. Gu\u00f0munds\u00adson,7839
83,Przemys\u0142aw,,Tyto\u0144,677,1987-01-04,194,99,right,P. Tyto\u0144,null
85,Marcelo Ant\u00f4nio,,Guedes Filho,3766,1987-05-20,191,102,right,Marcelo,null
65,Jetro,,Willems,2462,1994-03-30,169,110,left,J. Willems,null
78,Ali Adnan Kadhim,,Al Tameemi,3163,1993-12-19,186,131184,left,Ali Adnan,17759
78,Kevin,,Strootman,3158,1990-02-13,186,114,left,K. Strootman,null
