match_id,date,home_team,away_team,home_score,away_score,label,venue,gameweek,winner_team_id
2500089,2018-05-13 14:00:00,1646,1659,1,2,"Burnley - AFC Bournemouth, 1 - 2",Turf Moor,38,1659
2500090,2018-05-13 14:00:00,1628,1627,2,0,"Crystal Palace - West Bromwich Albion, 2 - 0",Selhurst Park,38,1628
2500091,2018-05-13 14:00:00,1673,1609,0,1,"Huddersfield Town - Arsenal, 0 - 1",The John Smith's Stadium,38,1609
2500092,2018-05-13 14:00:00,1612,1651,4,0,"Liverpool - Brighton & Hove Albion, 4 - 0",Anfield,38,1612
2500093,2018-05-13 14:00:00,1611,1644,1,0,"Manchester United - Watford, 1 - 0",Old Trafford,38,1611
2500094,2018-05-13 14:00:00,1613,1610,3,0,"Newcastle United - Chelsea, 3 - 0",St. James' Park,38,1613
2500095,2018-05-13 14:00:00,1619,1625,0,1,"Southampton - Manchester City, 0 - 1",St. Mary's Stadium,38,1625
2500096,2018-05-13 14:00:00,10531,1639,1,2,"Swansea City - Stoke City, 1 - 2",Liberty Stadium,38,1639
2500097,2018-05-13 14:00:00,1624,1631,5,4,"Tottenham Hotspur - Leicester City, 5 - 4",Wembley Stadium,38,1624
2500098,2018-05-13 14:00:00,1633,1623,3,1,"West Ham United - Everton, 3 - 1",London Stadium,38,1633
2500028,2018-05-10 18:45:00,1633,1611,0,0,"West Ham United - Manchester United, 0 - 0",London Stadium,31,0
2500024,2018-05-09 19:00:00,1625,1651,3,1,"Manchester City - Brighton & Hove Albion, 3 - 1",Etihad Stadium,31,1625
2500027,2018-05-09 19:00:00,1624,1613,1,0,"Tottenham Hotspur - Newcastle United, 1 - 0",Wembley Stadium,31,1624
2500022,2018-05-09 18:45:00,1631,1609,3,1,"Leicester City - Arsenal, 3 - 1",King Power Stadium,31,1631
2500062,2018-05-09 18:45:00,1610,1673,1,1,"Chelsea - Huddersfield Town, 1 - 1",Stamford Bridge,35,0
2500026,2018-05-08 18:45:00,10531,1619,0,1,"Swansea City - Southampton, 0 - 1",Liberty Stadium,31,1619
2500080,2018-05-06 15:30:00,1609,1646,5,0,"Arsenal - Burnley, 5 - 0",Emirates Stadium,37,1609
2500082,2018-05-06 15:30:00,1610,1612,1,0,"Chelsea - Liverpool, 1 - 0",Stamford Bridge,37,1610
2500085,2018-05-06 12:30:00,1625,1673,0,0,"Manchester City - Huddersfield Town, 0 - 0",Etihad Stadium,37,0
2500083,2018-05-05 16:30:00,1623,1619,1,1,"Everton - Southampton, 1 - 1",Goodison Park,37,0
2500079,2018-05-05 14:00:00,1659,10531,1,0,"AFC Bournemouth - Swansea City, 1 - 0",Vitality Stadium,37,1659
2500084,2018-05-05 14:00:00,1631,1633,0,2,"Leicester City - West Ham United, 0 - 2",King Power Stadium,37,1633
2500087,2018-05-05 14:00:00,1644,1613,2,1,"Watford - Newcastle United, 2 - 1",Vicarage Road Stadium,37,1644
2500088,2018-05-05 14:00:00,1627,1624,1,0,"West Bromwich Albion - Tottenham Hotspur, 1 - 0",The Hawthorns,37,1627
2500086,2018-05-05 11:30:00,1639,1628,1,2,"Stoke City - Crystal Palace, 1 - 2",Bet365 Stadium,37,1628
2500081,2018-05-04 19:00:00,1651,1611,1,0,"Brighton & Hove Albion - Manchester United, 1 - 0",The American Express Community Stadium,37,1651
2500077,2018-04-30 19:00:00,1624,1644,2,0,"Tottenham Hotspur - Watford, 2 - 0",Wembley Stadium,36,1624
2500073,2018-04-29 15:30:00,1611,1609,2,1,"Manchester United - Arsenal, 2 - 1",Old Trafford,36,1611
2500078,2018-04-29 13:15:00,1633,1625,1,4,"West Ham United - Manchester City, 1 - 4",London Stadium,36,1625
2500076,2018-04-28 16:30:00,10531,1610,0,1,"Swansea City - Chelsea, 0 - 1",Liberty Stadium,36,1610
2500069,2018-04-28 14:00:00,1646,1651,0,0,"Burnley - Brighton & Hove Albion, 0 - 0",Turf Moor,36,0
2500070,2018-04-28 14:00:00,1628,1631,5,0,"Crystal Palace - Leicester City, 5 - 0",Selhurst Park,36,1628
2500071,2018-04-28 14:00:00,1673,1623,0,2,"Huddersfield Town - Everton, 0 - 2",The John Smith's Stadium,36,1623
2500074,2018-04-28 14:00:00,1613,1627,0,1,"Newcastle United - West Bromwich Albion, 0 - 1",St. James' Park,36,1627
2500075,2018-04-28 14:00:00,1619,1659,2,1,"Southampton - AFC Bournemouth, 2 - 1",St. Mary's Stadium,36,1619
2500072,2018-04-28 11:30:00,1612,1639,0,0,"Liverpool - Stoke City, 0 - 0",Anfield,36,0
2500063,2018-04-23 19:00:00,1623,1613,1,0,"Everton - Newcastle United, 1 - 0",Goodison Park,35,1623
2500065,2018-04-22 15:30:00,1625,10531,5,0,"Manchester City - Swansea City, 5 - 0",Etihad Stadium,35,1625
2500060,2018-04-22 12:30:00,1609,1633,4,1,"Arsenal - West Ham United, 4 - 1",Emirates Stadium,35,1609
2500066,2018-04-22 12:30:00,1639,1646,1,1,"Stoke City - Burnley, 1 - 1",Bet365 Stadium,35,0
2500067,2018-04-21 14:00:00,1644,1628,0,0,"Watford - Crystal Palace, 0 - 0",Vicarage Road Stadium,35,0
2500068,2018-04-21 11:30:00,1627,1612,2,2,"West Bromwich Albion - Liverpool, 2 - 2",The Hawthorns,35,0
2500020,2018-04-19 18:45:00,1646,1610,1,2,"Burnley - Chelsea, 1 - 2",Turf Moor,31,1610
2500064,2018-04-19 18:45:00,1631,1619,0,0,"Leicester City - Southampton, 0 - 0",King Power Stadium,35,0
2500059,2018-04-18 18:45:00,1659,1611,0,2,"AFC Bournemouth - Manchester United, 0 - 2",Vitality Stadium,35,1611
2500061,2018-04-17 18:45:00,1651,1624,1,1,"Brighton & Hove Albion - Tottenham Hotspur, 1 - 1",The American Express Community Stadium,35,0
2500058,2018-04-16 19:00:00,1633,1639,1,1,"West Ham United - Stoke City, 1 - 1",London Stadium,34,0
2500053,2018-04-15 15:00:00,1611,1627,0,1,"Manchester United - West Bromwich Albion, 0 - 1",Old Trafford,34,1627
2500054,2018-04-15 12:30:00,1613,1609,2,1,"Newcastle United - Arsenal, 2 - 1",St. James' Park,34,1613
